["2013", "Central", "Central"]	[-0.847283127510353, -0.847283127510353, -0.8727350814705899]
["2013", "FarNorthSide", "FarNorthSide"]	[-0.9079803639016537, -0.9079803639016537, -0.2449533225792293]
["2013", "NorthSide", "NorthSide"]	[-0.6487881463982954, -0.6487881463982954, -0.8238434155082237]
["2013", "NorthwestSide", "NorthwestSide"]	[-0.143938354011794, -0.143938354011794, 0.31599644027419793]
["2013", "SouthwestSide", "SouthwestSide"]	[-1.1236544046956012, -1.1236544046956012, -0.22645503277824042]
["2013", "WestSide", "WestSide"]	[-0.5325201796544556, -0.5325201796544556, -0.7602897434231934]
["2014", "Central", "Central"]	[0.652237039393146, 0.652237039393146, 1.3958910657543506]
["2014", "FarNorthSide", "FarNorthSide"]	[-0.1392525887449576, -0.1392525887449576, -0.30501624239948333]
["2014", "NorthSide", "NorthSide"]	[0.7752995439648671, 0.7752995439648671, 0.6697704848901753]
["2014", "SouthSide", "SouthSide"]	[4.716251503811079, 4.716251503811079, 10.594765310751797]
["2014", "SouthwestSide", "SouthwestSide"]	[-0.07473769946490094, -0.07473769946490094, -0.0030535005404204174]
["2014", "WestSide", "WestSide"]	[0.434172262836497, 0.434172262836497, 0.35112996387176576]
["2015", "Central", "Central"]	[-0.15540341099513766, -0.15540341099513766, -0.46292529271585847]
["2015", "FarNorthSide", "FarNorthSide"]	[-0.18854567602394767, -0.18854567602394767, 0.13954761325234188]
["2015", "NorthSide", "NorthSide"]	[-1.4043074705836112, -1.4043074705836112, -0.1407705957621559]
["2015", "SouthwestSide", "SouthwestSide"]	[-0.10890744666615704, -0.10890744666615704, -0.2539257221889375]
["2015", "WestSide", "WestSide"]	[0.49860274442562735, 0.49860274442562735, -0.2945285510368092]
["2016", "Central", "Central"]	[-0.6497626315843086, -0.6497626315843086, -1.0734133077076389]
["2016", "FarNorthSide", "FarNorthSide"]	[-0.5124532122593768, -0.5124532122593768, -0.17821237985218286]
["2016", "NorthSide", "NorthSide"]	[0.22218914326368688, 0.22218914326368688, 0.4997915864113982]
["2016", "SouthSide", "SouthSide"]	[-1.741040477649906, -1.741040477649906, -0.7594690374457205]
["2016", "SouthwestSide", "SouthwestSide"]	[0.3169529467397256, 0.3169529467397256, 0.16326157216987713]
["2016", "WestSide", "WestSide"]	[0.05564861690844247, 0.05564861690844247, 0.35789109391891794]
