["2013", "0"]	[-1.0711398386191497, -1.0711398386191497, -0.8512266833955331]
["2013", "1"]	[-1.1122091974882995, -1.1122091974882995, -0.8828913910387135]
["2013", "2"]	[-0.293116160384739, -0.293116160384739, -1.6420691825046008]
["2013", "3"]	[-1.1819181922670818, -1.1819181922670818, -1.0850738254976062]
["2013", "4"]	[-1.2815776092947193, -1.2815776092947193, -1.0709264206553475]
["2013", "5"]	[-0.5376274725450461, -0.5376274725450461, -0.4789793442782595]
["2013", "6"]	[-0.5616333494186652, -0.5616333494186652, -0.7574271094777627]
["2013", "7"]	[-0.8253340658865695, -0.8253340658865695, -1.0188570592274506]
["2014", "0"]	[-0.22710743216737628, -0.22710743216737628, -0.5969910341824154]
["2014", "1"]	[-0.2041782131067964, -0.2041782131067964, 2.974073569450857]
["2014", "2"]	[-0.2147760369156293, -0.2147760369156293, -0.6823194765412679]
["2014", "3"]	[1.3480243755507537, 1.3480243755507537, 1.1755343091882104]
["2014", "4"]	[-0.014592543639118327, -0.014592543639118327, 1.3761074700474616]
["2014", "5"]	[2.588262991186909, 2.588262991186909, 3.6562074851483137]
["2014", "6"]	[-0.03085297735519732, -0.03085297735519732, -0.6266323445691078]
["2014", "7"]	[-0.07384632380302403, -0.07384632380302403, 0.2426335267652222]
["2015", "0"]	[-0.03568962324671343, -0.03568962324671343, -0.19364527387439834]
["2015", "1"]	[0.17711922475826758, 0.17711922475826758, -1.1178324469973202]
["2015", "2"]	[0.3665984792526804, 0.3665984792526804, 0.668170051918922]
["2015", "3"]	[-1.235733735335305, -1.235733735335305, -1.2449387001721557]
["2015", "4"]	[-0.4519031708852992, -0.4519031708852992, -1.366191998228047]
["2015", "5"]	[-0.45008746435538294, -0.45008746435538294, -0.5970747261626284]
["2015", "6"]	[-0.1247459705535805, -0.1247459705535805, -0.9573038386893722]
["2015", "7"]	[0.1470075114948659, 0.1470075114948659, -0.5552221311453946]
["2016", "0"]	[0.07965136543468065, 0.07965136543468065, 0.4155704851315227]
["2016", "1"]	[-0.28409545496627286, -0.28409545496627286, -0.7320697087932386]
["2016", "2"]	[-0.37263117844160965, -0.37263117844160965, -2.289655656972078]
["2016", "3"]	[-0.4768609676013429, -0.4768609676013429, -1.054823007625933]
["2016", "4"]	[-0.8280017747878268, -0.8280017747878268, -0.37112894651124684]
["2016", "5"]	[-0.6248348342872776, -0.6248348342872776, -1.5474973182522724]
["2016", "6"]	[-0.35500105748156074, -0.35500105748156074, 0.1480324234457835]
["2016", "7"]	[-0.04577286309849149, -0.04577286309849149, -0.38386288765257115]
