trip_id,taxi_id,pickup_time,dropoff_time,seconds,miles,pickup_census,dropoff_census,pickup_area,dropoff_area,fare,tips,tolls,extras,total,payment,company,pickup_latitude,pickup_longitude,pickup_centroid,dropoff_latitude,dropoff_longitude,dropoff_centroid,pickup_region,dropoff_region,AbsDistance,RRSL,AbsVelocity,AclVelocity,RRVV,AbsTime,RRST,pickup_hr,weekday
20117,2455,2013-05-05 09:45:00,2013-05-05 10:00:00,1320.0,23.4,17031081300,17031980100,8.0,56.0,47.05,0.0,0.0,3.0,50.05,Cash,,41.898331794,-87.620762865,"(41.898332, -87.620763)",41.785998518,-87.750934289,"(41.785999, -87.750934)",Central,Southwest Side,10.258413447058784,2.281054484766265,27.97749121925123,63.81818181818182,2.281054484766265,1320.0,1.0,2,7
44691,1779,2013-06-24 11:30:00,2013-06-24 12:00:00,1440.0,17.9,17031081500,17031980000,8.0,76.0,36.65,6.0,0.0,2.0,44.65,Credit Card,Dispatch Taxi Affiliation,41.892507781,-87.626214906,"(41.892508, -87.626215)",41.97907082,-87.90303966100002,"(41.979071, -87.90304)",Central,Far North Side,15.466044816299265,1.1573741194087095,38.66511204074816,44.74999999999999,1.1573741194087095,1439.9999999999998,0.9999999999999999,3,1
53888,459,2013-03-09 19:15:00,2013-03-09 19:30:00,660.0,0.0,17031081401,17031839100,8.0,32.0,8.45,0.0,0.0,0.0,8.45,Cash,Northwest Management LLC,41.89503345,-87.61971067200001,"(41.895033, -87.619711)",41.880994471,-87.632746489,"(41.880994, -87.632746)",Central,Central,1.1792805932589903,0.0,6.432439599594493,0.0,0.0,660.0,1.0,6,6
99784,3055,2013-05-22 06:45:00,2013-05-22 07:00:00,540.0,2.7,0,0,24.0,7.0,8.65,0.0,0.0,0.0,8.65,Cash,,41.901206994,-87.676355989,"(41.901207, -87.676356)",41.922686284,-87.649488729,"(41.922686, -87.649489)",West Side,North Side,2.0287663410633843,1.3308580418308729,13.525108940422562,18.000000000000004,1.3308580418308729,540.0,1.0,1,3
135396,191,2013-06-15 01:00:00,2013-06-15 01:00:00,240.0,1.1,17031241400,17031243500,24.0,24.0,5.45,0.0,0.0,2.0,7.45,Cash,,41.906025969,-87.67531162200001,"(41.906026, -87.675312)",41.892658108,-87.652534484,"(41.892658, -87.652534)",West Side,West Side,1.493527005980317,0.7365116235564722,22.402905089704756,16.5,0.736511623556472,240.0,1.0,0,6
171353,867,2013-11-13 09:00:00,2013-11-13 09:15:00,360.0,0.0,17031833100,17031839100,28.0,32.0,5.85,0.0,0.0,0.0,5.85,Cash,Taxi Affiliation Services,41.879066994,-87.65700502700001,"(41.879067, -87.657005)",41.880994471,-87.632746489,"(41.880994, -87.632746)",West Side,Central,1.2582707169767728,0.0,12.582707169767728,0.0,0.0,360.0,1.0,2,3
172270,2939,2013-12-21 23:15:00,2013-12-21 23:15:00,240.0,1.3,17031320100,17031081700,32.0,8.0,5.85,0.0,0.0,1.0,6.85,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,"(41.884987, -87.620993)",41.892042136,-87.63186395,"(41.892042, -87.631864)",Central,Central,0.7425524581419123,1.7507180613919018,11.138286872128685,19.5,1.7507180613919018,240.0,1.0,7,6
183127,238,2013-07-19 17:00:00,2013-07-19 17:15:00,900.0,0.0,17031081402,17031839100,8.0,32.0,9.65,0.0,0.0,1.5,11.15,Cash,Taxi Affiliation Services,41.891971508000005,-87.612945414,"(41.891972, -87.612945)",41.880994471,-87.632746489,"(41.880994, -87.632746)",Central,Central,1.2715632700890465,0.0,5.086253080356186,0.0,0.0,900.0,1.0,5,5
212443,922,2013-12-21 21:45:00,2013-12-21 21:45:00,180.0,0.6,0,0,3.0,3.0,4.45,0.0,0.0,1.5,5.95,Cash,Choice Taxi Association,41.96581197,-87.655878786,"(41.965812, -87.655879)",41.96581197,-87.655878786,"(41.965812, -87.655879)",Far North Side,Far North Side,0.0,inf,0.0,11.999999999999998,inf,,,6,6
226791,727,2013-03-12 15:00:00,2013-03-12 15:00:00,240.0,0.8,17031320100,17031839100,32.0,32.0,5.05,0.0,0.0,1.0,6.05,Cash,,41.884987192,-87.620992913,"(41.884987, -87.620993)",41.880994471,-87.632746489,"(41.880994, -87.632746)",Central,Central,0.6658683608987882,1.2014386731337725,9.988025413481823,12.0,1.2014386731337723,240.0,1.0,4,2
266483,101,2013-01-12 18:30:00,2013-01-12 18:45:00,360.0,1.3,17031081401,17031320100,8.0,32.0,6.25,0.0,0.0,1.0,7.25,Cash,,41.89503345,-87.61971067200001,"(41.895033, -87.619711)",41.884987192,-87.620992913,"(41.884987, -87.620993)",Central,Central,0.6964837580389571,1.8665187594041293,6.964837580389571,13.0,1.8665187594041293,360.0,1.0,5,6
270932,762,2013-02-20 18:30:00,2013-02-20 18:30:00,300.0,0.0,17031839100,17031833000,32.0,28.0,5.05,0.0,0.0,0.0,5.05,Cash,Taxi Affiliation Services,41.880994471,-87.632746489,"(41.880994, -87.632746)",41.88528132,-87.65723320000002,"(41.885281, -87.657233)",Central,West Side,1.2971161440823125,0.0,15.56539372898775,0.0,0.0,300.0,1.0,5,3
277320,3013,2013-10-10 12:45:00,2013-10-10 12:45:00,,0.0,0,0,,,7.95,1.99,0.0,0.0,9.94,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,"(0, 0)",,,"(0, 0)",None,None,0.0,,,,,,,3,4
315000,603,2013-04-10 20:15:00,2013-04-10 20:45:00,1260.0,13.9,0,0,76.0,7.0,28.85,6.15,0.0,2.0,37.0,Credit Card,Taxi Affiliation Services,41.980264315,-87.913624596,"(41.980264, -87.913625)",41.922686284,-87.649488729,"(41.922686, -87.649489)",Far North Side,North Side,14.176675627802446,0.9804837442101133,40.50478750800699,39.714285714285715,0.9804837442101132,1260.0,1.0,6,3
317319,589,2013-06-10 11:15:00,2013-06-10 11:15:00,600.0,0.1,17031081401,17031081800,8.0,8.0,7.05,0.0,0.0,0.0,7.05,Cash,,41.89503345,-87.61971067200001,"(41.895033, -87.619711)",41.89321636,-87.63784421,"(41.893216, -87.637844)",Central,Central,0.9434238114279364,0.10599690063858275,5.660542868567619,0.6000000000000001,0.10599690063858275,600.0,1.0,3,1
325375,2081,2013-04-05 21:15:00,2013-04-05 21:30:00,900.0,0.0,17031839100,17031241500,32.0,24.0,10.45,0.0,0.0,0.0,10.45,Cash,Northwest Management LLC,41.880994471,-87.632746489,"(41.880994, -87.632746)",41.908378669,-87.670945075,"(41.908379, -87.670945)",Central,West Side,2.729859622212731,0.0,10.919438488850924,0.0,0.0,900.0,1.0,6,5
325384,692,2013-05-12 05:15:00,2013-05-12 05:45:00,1500.0,14.4,0,0,6.0,76.0,35.25,0.0,0.0,2.0,37.25,Cash,,41.944226601,-87.655998182,"(41.944227, -87.655998)",41.980264315,-87.913624596,"(41.980264, -87.913625)",North Side,Far North Side,13.501805688847748,1.0665240140357037,32.404333653234595,34.56,1.0665240140357037,1500.0,1.0,1,7
347107,1172,2013-12-26 10:30:00,2013-12-26 10:30:00,720.0,7.0,0,0,3.0,32.0,16.05,0.0,0.0,0.0,16.05,Cash,,41.96581197,-87.655878786,"(41.965812, -87.655879)",41.878865584,-87.625192142,"(41.878866, -87.625192)",Far North Side,Central,6.205695184645661,1.1279961054677057,31.028475923228303,35.0,1.1279961054677057,720.0,1.0,3,4
356731,2769,2013-05-09 23:30:00,2013-05-09 23:30:00,60.0,0.0,0,0,3.0,3.0,3.65,0.0,0.0,0.0,3.65,Cash,Taxi Affiliation Services,41.96581197,-87.655878786,"(41.965812, -87.655879)",41.96581197,-87.655878786,"(41.965812, -87.655879)",Far North Side,Far North Side,0.0,,0.0,0.0,,,,7,4
371678,1953,2013-11-26 02:15:00,2013-11-26 02:30:00,240.0,0.09,0,0,22.0,24.0,5.05,0.0,0.0,0.0,5.05,Cash,,41.92276062,-87.69915534299999,"(41.922761, -87.699155)",41.901206994,-87.676355989,"(41.901207, -87.676356)",North Side,West Side,1.8958687454562184,0.04747164075345446,28.438031181843275,1.3499999999999999,0.04747164075345446,240.0,1.0,0,2
