Index,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
20117,01a37af520a5e8b9c39c08873ffa219beb6026a3,ce067b3ae7a967cf8e6937d815047e75f5374a4fdf9803a4c1f7273803a8abc1527f132af5d626868d4c6b1cfac6e03f1d560ca9bb9366c24197456fed3d8dfa,05/05/2013 09:45:00 AM,05/05/2013 10:00:00 AM,1320.0,23.4,17031081300.0,17031980100.0,8.0,56.0,$47.05,$0.00,$0.00,$3.00,$50.05,Cash,,41.898331794,-87.620762865,POINT (-87.620763 41.898332),41.785998518,-87.750934289,POINT (-87.750934 41.785999)
44691,01e027691f90ca9953670b0d02c057d9269fee55,970061a1beb6a38b3952054ade845973522e145fa12c49ac92724141f29041b4cedb7df2023c15a64bb49da69f0ae473b2fc1eaf45e895e72d94d4b324606401,06/24/2013 11:30:00 AM,06/24/2013 12:00:00 PM,1440.0,17.9,17031081500.0,17031980000.0,8.0,76.0,$36.65,$6.00,$0.00,$2.00,$44.65,Credit Card,Dispatch Taxi Affiliation,41.892507781,-87.626214906,POINT (-87.626215 41.892508),41.97907082,-87.90303966100001,POINT (-87.90304 41.979071)
53888,01f65decb6c9473fc2efc17a748c653dc61dd2ab,288345b3a0280dabfb23a38ba7fc482e59bb37c2109b0a5bd207bb6bc068082c403c784cdbb7ba4d7bf1bee197c7420915599c96d3b44ff54a0494094d14878c,03/09/2013 07:15:00 PM,03/09/2013 07:30:00 PM,660.0,0.0,17031081401.0,17031839100.0,8.0,32.0,$8.45,$0.00,$0.00,$0.00,$8.45,Cash,Northwest Management LLC,41.89503345,-87.61971067200001,POINT (-87.619711 41.895033),41.880994471,-87.632746489,POINT (-87.632746 41.880994)
99784,0267530127609ba52a242fd4a700c1c850aa12de,fce5ce375d93bcded7c5006c25c5b82414269dd8e1607e1790a4bf9fd18731c4b19bbaf77d6050b8771c6dfc7998046b1aadc0692d03bd9888dd9c0821d28be4,05/22/2013 06:45:00 AM,05/22/2013 07:00:00 AM,540.0,2.7,,,24.0,7.0,$8.65,$0.00,$0.00,$0.00,$8.65,Cash,,41.901206994,-87.676355989,POINT (-87.676356 41.901207),41.922686284,-87.649488729,POINT (-87.649489 41.922686)
135396,02be1d245a4722431d033a6c3e4fab5830d21c52,1256eb4e5549b851c530f8c69b19f6bede51d6cc604a38ac0148532435b53e5a001cbf9959b443ff74a92e7bef354574f08dd5bb54576d1d09047caf6a32dff8,06/15/2013 01:00:00 AM,06/15/2013 01:00:00 AM,240.0,1.1,17031241400.0,17031243500.0,24.0,24.0,$5.45,$0.00,$0.00,$2.00,$7.45,Cash,,41.906025969,-87.67531162200001,POINT (-87.675312 41.906026),41.892658108,-87.652534484,POINT (-87.652534 41.892658)
171353,031641932883570b11d13f26e0bc04f500a90ea1,47938f81d855fd445e964d9986b6d1681afbaaa9db45697e864e1e373315085071674b1487bf605d3c1ad8825b5248b86d216385aec4229f047cb97702e53fa8,11/13/2013 09:00:00 AM,11/13/2013 09:15:00 AM,360.0,0.0,17031833100.0,17031839100.0,28.0,32.0,$5.85,$0.00,$0.00,$0.00,$5.85,Cash,Taxi Affiliation Services,41.879066994,-87.65700502700001,POINT (-87.657005 41.879067),41.880994471,-87.632746489,POINT (-87.632746 41.880994)
172270,03187106542af71b56cf2eb1927fdc8c3a63e677,f454eed0504cea35dec37d008e940841cd60610ddacc5e04648c2fcb762cfeae48123639c2b237a18afe37d6521c07d6fe7c6c62d0dacd2cec82955520ce0e3e,12/21/2013 11:15:00 PM,12/21/2013 11:15:00 PM,240.0,1.3,17031320100.0,17031081700.0,32.0,8.0,$5.85,$0.00,$0.00,$1.00,$6.85,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.620993 41.884987),41.892042136,-87.63186395,POINT (-87.631864 41.892042)
183127,0332db557ea736454c08093f81a7df7bc1683016,15ae156101456925cc4ade445676def1ae013e526cff1ab373d17e32942c6cae5f7f217ba08842ca73bd73eab6ce9f7bd63dbd3002884fc7151576655e65d542,07/19/2013 05:00:00 PM,07/19/2013 05:15:00 PM,900.0,0.0,17031081402.0,17031839100.0,8.0,32.0,$9.65,$0.00,$0.00,$1.50,$11.15,Cash,Taxi Affiliation Services,41.891971508000005,-87.612945414,POINT (-87.612945 41.891972),41.880994471,-87.632746489,POINT (-87.632746 41.880994)
212443,037aefda3dbd246ea35859ed596d8f9442dfd9de,4bfc1586ac767b0ca8771a8fcf7bb9b0f88d86c08a4ca089f741ada3939f92db42cf3595980a857ce099c10a2c88cf77a4841bb6156c755b6057b878585fdc5c,12/21/2013 09:45:00 PM,12/21/2013 09:45:00 PM,180.0,0.6,,,3.0,3.0,$4.45,$0.00,$0.00,$1.50,$5.95,Cash,Choice Taxi Association,41.96581197,-87.655878786,POINT (-87.655879 41.965812),41.96581197,-87.655878786,POINT (-87.655879 41.965812)
226791,039e39da6e86d95fa96fb0061281323bc7d3146a,3c98a2c64db2125afaac2c6966384270320132a6759497ff2b2d73d11acea48a591ed51e8c6607d72c3c2112a7b15499d23798a1ab591ab86c64ff416fa99114,03/12/2013 03:00:00 PM,03/12/2013 03:00:00 PM,240.0,0.8,17031320100.0,17031839100.0,32.0,32.0,$5.05,$0.00,$0.00,$1.00,$6.05,Cash,,41.884987192,-87.620992913,POINT (-87.620993 41.884987),41.880994471,-87.632746489,POINT (-87.632746 41.880994)
