["2013", "Central", "Central"]	[-0.25785182530077044, -0.25784681069958837, -0.2578474720752493]
["2013", "Central", "Far North Side"]	[0.15481423318384802, 0.15517924528301852, 0.15517452830188638]
["2013", "Central", "None"]	[-0.00028628873152207576, -9.007936507936568e-05, -9.007936507936568e-05]
["2013", "Central", "Southwest Side"]	[0.26135495937235986, 0.26166666666666694, 0.26168333333333327]
["2013", "Central", "West Side"]	[-0.6301821120131759, -0.6300886123680239, -0.6300478883861235]
["2013", "Far North Side", "Central"]	[0.11750353367048283, 0.11763184079602018, 0.11763681592039821]
["2013", "None", "North Side"]	[-0.003513909134150133, -0.0035, -0.0035]
["2013", "West Side", "Central"]	[-0.3693218621372365, -0.36903342490842395, -0.3690320512820504]
["2014", "Central", "Central"]	[-0.27480790769868424, -0.2746962542312472, -0.2746852084446805]
["2014", "Central", "Far North Side"]	[-0.10588214082980085, -0.10577006610009465, -0.10610056657223832]
["2014", "Central", "North Side"]	[0.2055350719328335, 0.20545551982850974, 0.20545793140407187]
["2014", "Central", "South Side"]	[0.05972962770920609, 0.060166666666666924, 0.060166666666666924]
["2014", "Central", "West Side"]	[0.2984911626986435, 0.2982666226332005, 0.2982712461470711]
["2014", "Far North Side", "Central"]	[0.310549118186618, 0.3105770833333338, 0.3104802083333338]
["2014", "Far North Side", "Far North Side"]	[-0.07971880742386717, -0.07971153846153844, -0.07970879120879137]
["2014", "Far North Side", "None"]	[-0.2541413216178214, -0.25409310344827585, -0.25409310344827585]
["2014", "Far North Side", "North Side"]	[0.1402539504129795, 0.14037359550561856, 0.14037359550561856]
["2014", "North Side", "Central"]	[0.18386811678086468, 0.18364305555555638, 0.18364513888888956]
["2014", "North Side", "Far North Side"]	[0.044809251272627915, 0.04498677248677185, 0.04499735449735387]
["2014", "West Side", "Central"]	[0.5888543034932399, 0.5890252267573688, 0.5890229591836724]
["2014", "West Side", "None"]	[-0.0008102819975590707, -0.0009375000000000001, -0.0009375000000000001]
["2015", "Central", "Central"]	[-0.15511070901393675, -0.15511767822736156, -0.15510688824662844]
["2015", "Central", "Far North Side"]	[-0.5589085457778328, -0.5588014925373136, -0.5588014925373136]
["2015", "Central", "North Side"]	[0.42981953144262786, 0.42980465805061985, 0.42979738826063585]
["2015", "Central", "Southwest Side"]	[-0.9666690115213007, -0.9671436781609201, -0.9671321839080466]
["2015", "Far North Side", "Central"]	[-0.18843255812795956, -0.18797916666666703, -0.18797596153846197]
["2015", "Far North Side", "Far North Side"]	[-0.2656427435548029, -0.2655465116279072, -0.2655406976744188]
["2015", "Far North Side", "None"]	[-0.18904137452980416, -0.18914718614718612, -0.18914718614718612]
["2015", "North Side", "Central"]	[0.27289601303164446, 0.27242325800376643, 0.27242608286252334]
["2015", "West Side", "Central"]	[0.10534017151445818, 0.10542643097643034, 0.10542845117845068]
["2015", "West Side", "North Side"]	[-0.11616046167227478, -0.11622000000000055, -0.11623333333333374]
["2016", "Central", "Central"]	[-0.9596368049902142, -0.9595135979541906, -0.9595618523460078]
["2016", "Central", "Far North Side"]	[0.10478198548198381, 0.10463445378151226, 0.10464285714285682]
["2016", "Central", "Southwest Side"]	[-1.7287692151109681, -1.7288955223880593, -1.728955223880596]
["2016", "Central", "West Side"]	[1.2410942205106288, 1.2409249146757666, 1.2409249146757664]
["2016", "Far North Side", "Central"]	[-0.7173253071486496, -0.7172371323529414, -0.7172444852941176]
["2016", "Far North Side", "Far North Side"]	[0.2747631996824498, 0.27488613861386146, 0.2748960396039606]
["2016", "Far North Side", "None"]	[-0.36382371616520787, -0.3634479166666666, -0.3634479166666666]
["2016", "Far North Side", "North Side"]	[0.13543545251047506, 0.1350817307692307, 0.1350913461538461]
["2016", "North Side", "North Side"]	[-0.2483742314295656, -0.24858982035928068, -0.24858982035928068]
