year,origin,destination,HL
2013,"Central","Central",-0.43098034568706023
2013,"Central","FarNorthSide",0.15483679885595958
2013,"Central","None",-0.0002862746747666477
2013,"Central","SouthwestSide",-0.3825086197250972
2013,"Central","WestSide",-0.6560470143624813
2013,"FarNorthSide","Central",0.1231491849435411
2013,"None","NorthSide",-0.0035139090954341146
2013,"NorthSide","None",-0.0003710838258129453
2013,"WestSide","Central",-0.36914485535459884
2014,"Central","Central",-0.2728550849322908
2014,"Central","FarNorthSide",-0.10584731030435834
2014,"Central","NorthSide",0.205415245102478
2014,"Central","SouthSide",0.05970544136851319
2014,"Central","WestSide",0.2994759682889163
2014,"FarNorthSide","Central",0.3109573041926257
2014,"FarNorthSide","FarNorthSide",-0.07964499955967452
2014,"FarNorthSide","None",-0.25419932018329117
2014,"FarNorthSide","NorthSide",0.12967162526263776
2014,"NorthSide","Central",0.18386980209590975
2014,"NorthSide","FarNorthSide",0.044795071997471236
2014,"WestSide","Central",0.591454340059177
2014,"WestSide","None",-0.000810282026096752
2015,"Central","Central",-0.15355389783223128
2015,"Central","FarNorthSide",-0.5588969913459287
2015,"Central","NorthSide",0.43130500801617777
2015,"Central","SouthwestSide",-0.9666705787414466
2015,"FarNorthSide","Central",-0.18842733616412355
2015,"FarNorthSide","FarNorthSide",-0.2536986288430325
2015,"FarNorthSide","None",-0.1878308852048013
2015,"NorthSide","Central",0.2727457108385456
2015,"WestSide","Central",0.10525596985193353
2015,"WestSide","NorthSide",-0.12003721405166645
2016,"Central","Central",-0.9598946728760408
2016,"Central","FarNorthSide",0.10479652796250027
2016,"Central","SouthwestSide",-1.7288003510371373
2016,"Central","WestSide",1.2409455863184236
2016,"FarNorthSide","Central",-0.7172879480187728
2016,"FarNorthSide","FarNorthSide",0.2750394183762681
2016,"FarNorthSide","None",-0.363906410427691
2016,"FarNorthSide","NorthSide",0.13540236301407238
2016,"NorthSide","NorthSide",-0.24847617776826425
